Type,Cleaned_content
neutral,accord gran compani plan move product russia although compani grow
neutral,technopoli plan develop stage area less 100000 squar meter order host compani work comput technolog telecommun statement said
negative,intern electron industri compani elcoteq laid ten employe tallinn facil contrari earlier layoff compani contract rank offic worker daili postime report
positive,new product plant compani would increas capac meet expect increas demand would improv use raw materi therefor increas product profit
positive,accord compani updat strategi year 20092012 baswar target longterm net sale growth rang 20 40 oper profit margin 10 20 net sale
positive,financ aspocomp growth aspocomp aggress pursu growth strategi increasingli focus technolog demand hdi print circuit board pcb
positive,last quarter 2010 componenta net sale doubl eur131m eur76m period year earlier move zero pretax profit pretax loss eur7m
positive,third quarter 2010 net sale increas 52 eur 2055 mn oper profit 349 eur 235 mn
positive,oper profit rose eur 131 mn eur 87 mn correspond period 2007 repres 77 net sale
positive,oper profit total eur 211 mn eur 186 mn 2007 repres 97 net sale
positive,teliasonera tlsn said offer line strategi increas ownership core busi hold would strengthen eesti telekom offer custom
positive,stora enso norsk skog mreal upmkymmen credit suiss first boston cfsb rais fair valu share four largest nordic forestri group
positive,purchas agreement 7200 ton gasolin deliveri hamina termin finland sign nest oil oyj averag platt index septemb plu eight us dollar per month
positive,finnish talentum report oper profit increas eur 205 mn 2005 eur 93 mn 2004 net sale total eur 1033 mn eur 964 mn
positive,cloth retail chain seppl sale increas 8 eur 1552 mn oper profit rose eur 311 mn eur 171 mn 2004
positive,consolid net sale increas 16 reach eur74 8 oper profit amount eur0 9 compar loss eur0 7 prior year period
positive,foundri divis report sale increas 97 eur 631 mn eur 575 mn correspond period 2006 sale machin shop divis increas 164 eur 412 mn eur 354 mn correspond period 2006
positive,helsinki afx share close higher led nokia announc plan team sanyo manufactur 3g handset nokian tyre fourthquart earn report beat analyst expect dealer said
positive,incap contract manufactur servic pvt ltd subsidiari incap corpor finland plan doubl revenu 20072008
positive,board director propos dividend eur0 12 per share 2010 eur0 08 per share paid 2009
positive,lifetre found 2000 revenu risen averag 40 margin late 30
positive,filippova trilater agreement invest construct technolog park st petersburg sign cours forum day russian economi open helsinki today
positive,megafon subscrib base increas 161 2009 505 million user decemb 31 market share number custom amount 24 late 2009 23 late 2008 accord teliasonera estim
positive,net incom life insur doubl eur 68 mn eur 32 mn net incom nonlif insur rose eur 52 mn eur 15 mn correspond period 2009
positive,net sale increas eur193 3 eur179 9 pretax profit rose 342 eur43 1 eur1 usd1 4
positive,net sale surg 185 eur167 8 telest said eur20 4 122 sale came acquisit made 2009
positive,nordea group oper profit increas 2010 18 percent yearonyear 364 billion euro total revenu 3 percent 933 billion euro
positive,oper profit ninemonth period increas eur13 6 net sale increas eur394 7 compar correspond period 2005
positive,oper profit ninemonth period increas eur3 1 net sale increas eur61 5 compar correspond period 2007
positive,oper profit threemonth period increas eur1 2 revenu increas eur20 2 compar correspond period 2005
positive,brazilian unit finnish secur solut provid fsecur sign 1500 new client last year onlin news sourc resel web quot divis commerci director vladimir brand_o say
positive,compani net profit rose 114 year 822 million euro 2005 sale 6865 million euro 138 year compani said earlier
positive,lithuanian beer market made 1441 million liter januari rise 08 percent yearearli figur lithuanian brewer associ report cite result member
positive,vike line cargo revenu increas 54 eur 2146 mn cargo volum increas 24 70116 cargo unit
positive,fair valu properti portfolio doubl result kapite acquisit total eur 26862 12597 million
positive,10 februari 2011 finnish media compani sanoma oyj hel saa1v said yesterday 2010 net profit almost tripl eur297 3 eur107 1 2009 announc propos rais payout
positive,helsinki eliiv today report ep eur1 13 2009 increas ep eur1 12 2008
positive,aspo plc stock exchang releas februari 11 2011 at8 45 esl ship ltd part aspo group sign new longterm contract rautaruukki corpor marin transport raw materi baltic sea
positive,commiss incom increas 22 eur 44 mn lend volum rose 135
positive,januari traffic measur revenu passeng kilometr rpk went 32 capac measur avail seat kilometr ask rose 122
positive,januaryseptemb 2010 fiskar net profit went 14 yearonyear eur 654 million net sale eur 5253 million eur 4877 million
positive,net incom life insur rose eur 165 mn eur 140 mn net incom nonlif insur eur 226 mn eur 152 mn 2009
positive,nyrstar also agre suppli talvivaara 150000 tonn sulphur acid per annum use talvivaara leach process period suppli zinc concentr
